recipe_id,source,cuisine,region
1000071,Epicurious,Indian,SouthAsian
1000072,Epicurious,Indian,SouthAsian
1000073,Epicurious,Indian,SouthAsian
1000074,Epicurious,Indian,SouthAsian
1000075,Epicurious,Indian,SouthAsian
1000076,Epicurious,Indian,SouthAsian
1000077,Epicurious,Indian,SouthAsian
1000078,Epicurious,Indian,SouthAsian
1000079,Epicurious,Indian,SouthAsian
1000080,Epicurious,Indian,SouthAsian
1000081,Epicurious,Indian,SouthAsian
1000082,Epicurious,Indian,SouthAsian
1000083,Epicurious,Indian,SouthAsian
1000084,Epicurious,Indian,SouthAsian
1000085,Epicurious,Indian,SouthAsian
1000086,Epicurious,Indian,SouthAsian
1000087,Epicurious,Indian,SouthAsian
1000088,Epicurious,Indian,SouthAsian
1000089,Epicurious,Indian,SouthAsian
1000090,Epicurious,Indian,SouthAsian
1000091,Epicurious,Indian,SouthAsian
1000092,Epicurious,Indian,SouthAsian
1000093,Epicurious,Indian,SouthAsian
1000094,Epicurious,Indian,SouthAsian
1000095,Epicurious,Indian,SouthAsian
1000096,Epicurious,Indian,SouthAsian
1000097,Epicurious,Indian,SouthAsian
1000098,Epicurious,Indian,SouthAsian
1000099,Epicurious,Indian,SouthAsian
1000100,Epicurious,Indian,SouthAsian
1000101,Epicurious,Indian,SouthAsian
1000102,Epicurious,Indian,SouthAsian
1000103,Epicurious,Indian,SouthAsian
1000104,Epicurious,Indian,SouthAsian
1000105,Epicurious,Indian,SouthAsian
1000106,Epicurious,Indian,SouthAsian
1000107,Epicurious,Indian,SouthAsian
1000108,Epicurious,Indian,SouthAsian
1000109,Epicurious,Indian,SouthAsian
1000110,Epicurious,Indian,SouthAsian
1000111,Epicurious,Indian,SouthAsian
1000112,Epicurious,Indian,SouthAsian
1000113,Epicurious,Indian,SouthAsian
1000114,Epicurious,Indian,SouthAsian
1000115,Epicurious,Indian,SouthAsian
1000116,Epicurious,Indian,SouthAsian
1000117,Epicurious,Indian,SouthAsian
1000118,Epicurious,Indian,SouthAsian
1000119,Epicurious,Indian,SouthAsian
1000120,Epicurious,Indian,SouthAsian
1000121,Epicurious,Indian,SouthAsian
1000122,Epicurious,Indian,SouthAsian
1000123,Epicurious,Indian,SouthAsian
1000124,Epicurious,Indian,SouthAsian
1000125,Epicurious,Indian,SouthAsian
1000126,Epicurious,Indian,SouthAsian
1000127,Epicurious,Indian,SouthAsian
1000128,Epicurious,Indian,SouthAsian
1000129,Epicurious,Indian,SouthAsian
1000130,Epicurious,Indian,SouthAsian
1000131,Epicurious,Indian,SouthAsian
1000132,Epicurious,Indian,SouthAsian
1000133,Epicurious,Indian,SouthAsian
1000134,Epicurious,Indian,SouthAsian
1000135,Epicurious,Indian,SouthAsian
1000136,Epicurious,Indian,SouthAsian
1000137,Epicurious,Indian,SouthAsian
1000138,Epicurious,Indian,SouthAsian
1000139,Epicurious,Indian,SouthAsian
1000140,Epicurious,Indian,SouthAsian
1000141,Epicurious,Indian,SouthAsian
1000142,Epicurious,Indian,SouthAsian
1000143,Epicurious,Indian,SouthAsian
1000144,Epicurious,Indian,SouthAsian
1000145,Epicurious,Indian,SouthAsian
1000146,Epicurious,Indian,SouthAsian
1000147,Epicurious,Indian,SouthAsian
1000148,Epicurious,Indian,SouthAsian
1000149,Epicurious,Indian,SouthAsian
1000150,Epicurious,Indian,SouthAsian
1000151,Epicurious,Indian,SouthAsian
1000152,Epicurious,Indian,SouthAsian
1000153,Epicurious,Indian,SouthAsian
1000154,Epicurious,Indian,SouthAsian
1000155,Epicurious,Indian,SouthAsian
1000156,Epicurious,Indian,SouthAsian
1000157,Epicurious,Indian,SouthAsian
1000158,Epicurious,Indian,SouthAsian
1000159,Epicurious,Indian,SouthAsian
1000160,Epicurious,Indian,SouthAsian
1000161,Epicurious,Indian,SouthAsian
1000162,Epicurious,Indian,SouthAsian
1000163,Epicurious,Indian,SouthAsian
1000164,Epicurious,Indian,SouthAsian
1000165,Epicurious,Indian,SouthAsian
1000166,Epicurious,Indian,SouthAsian
1000167,Epicurious,Indian,SouthAsian
1000168,Epicurious,Indian,SouthAsian
1000169,Epicurious,Indian,SouthAsian
1000170,Epicurious,Indian,SouthAsian
1000171,Epicurious,Indian,SouthAsian
